,nct_id,start_date,phase,./eligibility/gender,./eligibility/minimum_age,./eligibility/maximum_age,./eligibility/criteria/textblock
76,NCT00002718,Nov-95,Phase 2,All,N/A,49 Years,"['  One of the following diagnoses:\r\n\r\n               -  Acute myelogenous leukemia (AML) meeting 1 of the following conditions:\r\n\r\n                    -  Failed to achieve first remission after an intensive induction regimen\r\n                       containing an anthracycline and cytarabine\r\n\r\n                    -  In second remission and not enrolled in a protocol for autologous bone\r\n                       marrow transplantation\r\n\r\n                    -  Failed to achieve or sustain second remission\r\n\r\n                    -  In first remission but at high risk of relapse because of 1 of the following\r\n                       factors:\r\n\r\n                         -  High-risk cytogenetic features (monosomy 7,5q-, trisomy 8, or t(9;22))\r\n\r\n                         -  AML secondary to treatment of a prior malignancy and without good-risk\r\n                            cytogenetic features of t(8;21), t(15;17), or inv 16\r\n\r\n                         -  AML secondary to myelodysplastic disease\r\n\r\n               -  Acute lymphocytic leukemia (ALL) meeting 1 of the following conditions:\r\n\r\n                    -  In second remission with initial relapse occurring within 2 years of\r\n                       diagnosis\r\n\r\n                    -  In first complete remission with high-risk cytogenetics (t(9;22) or t(4;11))\r\n\r\n                    -  In third or subsequent remission\r\n\r\n                    -  Failed to achieve or sustain a second remission\r\n\r\n               -  Chronic myelogenous leukemia (CML) in first or second chronic phase or\r\n                  accelerated phase\r\n\r\n               -  Stage IV lymphoblastic lymphoma not in first remission or that failed to achieve\r\n                  a remission within the first 4 weeks of induction therapy\r\n\r\n               -  Juvenile CML\r\n\r\n               -  Myelodysplastic syndrome\r\n\r\n               -  Severe aplastic anemia unresponsive to anti-thymocyte globulin or cyclosporine', '  No CNS or skin involvement with leukemia', '  No requirement for mediastinal irradiation', '  No healthy, HLA-identical related donor of at least 1 year of age or matched unrelated\r\n             donor available within 4-6 months', '  Availability of a healthy, 1-3 HLA-A, -B, and -DR mismatched related donor\r\n\r\n               -  Willing and able to undergo general anesthesia for marrow donation and a 5-day\r\n                  course of filgrastim (G-CSF) with 2 daily leukaphereses\r\n\r\n        ', 'Age:\r\n\r\n          -  Under 50 (50 and over allowed on a case-by-case basis)\r\n\r\n        ', 'Performance status:\r\n\r\n          -  Age 16 and over:\r\n\r\n               -  Karnofsky 70-100%\r\n\r\n          -  Under age 16:\r\n\r\n               -  Lansky 50-100%\r\n\r\n        ', 'Hematopoietic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  Bilirubin less than 2.0 mg/dL (in the absence of liver involvement)\r\n\r\n          -  AST less than twice normal (in the absence of liver involvement)\r\n\r\n        ', 'Renal:\r\n\r\n          -  Creatinine normal OR\r\n\r\n          -  Creatinine clearance greater than 60 mL/min\r\n\r\n        ', 'Cardiovascular:\r\n\r\n          -  Asymptomatic or LVEF greater than 50% at rest, with improvement during exercise\r\n\r\n        ', 'Pulmonary:\r\n\r\n          -  Asymptomatic or DLCO greater than 50% predicted (corrected for hemoglobin)\r\n\r\n        ', 'Other:\r\n\r\n          -  No known hypersensitivity to mouse protein or chicken egg products\r\n\r\n          -  No active viral, bacterial, or fungal infection\r\n\r\n          -  HIV-1, HIV-2, HTLV-1, and HTLV-2 negative\r\n\r\n          -  No other concurrent medical condition that would preclude transplantation\r\n\r\n          -  Not pregnant or nursing\r\n\r\n        ', 'Biologic therapy\r\n\r\n          -  See Disease Characteristics\r\n\r\n        ', 'Chemotherapy\r\n\r\n          -  See Disease Characteristics\r\n\r\n        ', 'Endocrine therapy\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy\r\n\r\n          -  See Disease Characteristics\r\n\r\n        ', 'Surgery\r\n\r\n          -  See Disease Characteristics\r\n      ']"
7,NCT00165087,Jan-96,Phase 3,All,N/A,18 Years,"['\n        Inclusion Criteria:', '          -  Acute lymphoblastic leukemia, excluding known mature B-cell ALL', '          -  < 18 years of age', '          -  Patients who are leukopheresed or exchanged are eligible for study only after\r\n             completion of the pheresis or exchange transfusion', '          -  Absence of a t(8,14) (q24; q32), t (8,22), t(2,8)', '          -  Total bilirubin < 1.4mg/dl', '        Exclusion Criteria:', '          -  Known HIV positive', '          -  Prior steroid therapy within 30 days of diagnosis', '          -  Septic shock', '          -  Ongoing intracranial hemorrhage', '          -  Clinical evidence of CNS or lung leukostasis\r\n      ']"
119,NCT00002704,Jan-96,Phase 2,All,N/A,20 Years,"['  Acute lymphoblastic leukemia in first bone marrow remission (M1) with first isolated\r\n             initial CNS relapse', '  More than 5 WBC/microliter in cerebrospinal fluid (CSF) with blasts on cytospin OR\r\n             immunophenotypic proof (encouraged) of relapse in CSF', '  Identifiable blasts and presence on 2 CSF samples 3 weeks apart', '  If B-cell terminal deoxynucleotidyl transferase (TdT) OR CD-10', '  If T-cell TdT alone OR with CD-7\r\n\r\n        ', '  Age: Over 6 months and under 21 years at relapse', '  Patients receiving sustained release cytarabine', '  Performance status: Older than 10 years', '  Karnofsky greater than 50% Less than 10 years', '  Lansky greater than 50%', '  Platelet count greater than 40,000/mm3', '  Bilirubin less than 2.0 mg/dL', '  SGPT less than 5 times normal', '  Creatinine less than 1.5 times normal for age', '  Normal metabolic parameters (serum electrolytes, calcium, and phosphorus)', '  No clinical evidence of obstructive hydrocephalus, compartmentalization of the CSF\r\n             flow, ventriculoperitoneal or ventriculoatrial shunt\r\n\r\n        ', '  Prior cumulative anthracycline dose less than 375 mg/sqm', '  Patients receiving sustained release cytarabine', '  At least 7 days since prior investigational drug', '  At least 3 weeks since prior CNS directed therapy (6 weeks is prior nitrosourea)', '  At least 1 week since intrathecal chemotherapy', '  At least 8 weeks since prior craniospinal radiotherapy\r\n      ']"
120,NCT00002738,Jan-96,Phase 2,All,N/A,21 Years,"[""  Histologic evidence of one of the following malignancies that has failed conventional\r\n             therapy:\r\n\r\n               -  Acute lymphoblastic leukemia\r\n\r\n               -  Non-Hodgkin's lymphoma with bone marrow involvement\r\n\r\n               -  Osteogenic sarcoma"", '  In vitro transport resistance to methotrexate demonstrated by bone marrow aspirate\r\n             assay\r\n\r\n        ', 'Age:\r\n\r\n          -  21 and under at diagnosis\r\n\r\n        ', 'Performance status:\r\n\r\n          -  ECOG 0-2\r\n\r\n        ', 'Life expectancy:\r\n\r\n          -  At least 8 weeks\r\n\r\n        ', 'Hematopoietic:\r\n\r\n          -  Granulocytopenia allowed with bone marrow involvement\r\n\r\n          -  Thrombocytopenia allowed with bone marrow involvement\r\n\r\n          -  Anemia allowed with bone marrow involvement\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  (unless due to disease)\r\n\r\n          -  Bilirubin no greater than 2.0 mg/dL\r\n\r\n          -  AST no greater than 100\r\n\r\n        ', 'Renal:\r\n\r\n          -  Creatinine less than 1.5 mg/dL OR\r\n\r\n          -  Creatinine clearance at least 60 mL/min\r\n\r\n        ', 'Other:\r\n\r\n          -  No other serious medical illness\r\n\r\n          -  Not pregnant or nursing\r\n\r\n          -  Fertile patients must use effective contraception\r\n\r\n        ', 'Biologic therapy:\r\n\r\n          -  Prior bone marrow transplantation allowed\r\n\r\n        ', 'Chemotherapy:\r\n\r\n          -  At least 1 week since prior intrathecal treatment\r\n\r\n          -  At least 2 weeks since prior systemic chemotherapy and recovered\r\n\r\n               -  At least 10 days for rapidly proliferating leukemia (i.e., WBC greater than\r\n                  50,000)\r\n\r\n          -  No concurrent chemotherapy\r\n\r\n        ', 'Endocrine therapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy:\r\n\r\n          -  Prior radiotherapy allowed and recovered\r\n\r\n          -  No concurrent radiotherapy\r\n\r\n        ', 'Surgery:\r\n\r\n          -  Not specified\r\n      ']"
152,NCT00025545,Mar-96,Phase 2,All,N/A,55 Years,"['  One of the following diagnoses:\r\n\r\n               -  Primary acute leukemia beyond first remission\r\n\r\n               -  High-risk acute myelogenous leukemia\r\n\r\n               -  Acute lymphoblastic leukemia in first remission', '  Must have HLA-matched donor identical for HLA-A, -B, and DRB1 alleles\r\n\r\n               -  No HLA-matched identical sibling or haploidentical relative incompatible for 0 or\r\n                  1 HLA-A, -B, or -DRB1 loci on the non-shared haplotype', '  No leukoencephalopathy\r\n\r\n        ', 'Age:\r\n\r\n          -  55 and under\r\n\r\n        ', 'Performance status:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Life expectancy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hematopoietic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  SGOT no greater than 2 times normal\r\n\r\n          -  Hepatitis B surface antigen negative\r\n\r\n          -  No prior hepatitis C\r\n\r\n        ', 'Renal:\r\n\r\n          -  No impaired renal function\r\n\r\n          -  Creatinine less than 2 times normal\r\n\r\n        ', 'Cardiovascular:\r\n\r\n          -  No symptomatic cardiac disease\r\n\r\n        ', 'Pulmonary:\r\n\r\n          -  No active pulmonary disease\r\n\r\n          -  DLCO at least 60% predicted\r\n\r\n        ', 'Other:\r\n\r\n          -  HIV negative\r\n\r\n          -  No disease or other malignancy that severely limits life expectancy\r\n\r\n          -  No severe or life-threatening infection within the past 2 weeks\r\n\r\n          -  No history of septate fungal infection or disseminated candidiasis\r\n\r\n        ', 'Biologic therapy:\r\n\r\n          -  No prior bone marrow or peripheral blood stem cell transplantation\r\n\r\n        ', 'Chemotherapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Endocrine therapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Radiotherapy:\r\n\r\n          -  No prior radiotherapy greater than 3,000 cGy to whole brain\r\n\r\n          -  No prior radiotherapy of 1,500 cGy to chest or abdomen\r\n\r\n          -  At least 6 months since prior involved-field radiotherapy to chest or abdomen\r\n\r\n        ', 'Surgery:\r\n\r\n          -  Not specified\r\n      ']"
124,NCT00002705,Apr-96,Phase 1,All,N/A,20 Years,"['Histologically or cytologically confirmed leukemia refractory to conventional therapy or\r\n        for which no effective curative therapy exists\r\n\r\n        ', '  Age: Under 21', '  Performance status: ECOG 0-2', '  Life expectancy: At least 8 weeks', '  Adequate platelet count and hemoglobin required (transfusion allowed)', '  Bilirubin no greater than 1.5 mg/dL', '  AST or ALT no greater than 2 times normal', '  Creatinine less than 1.5 mg/dL', '  Adequate nutritional status, e.g. higher than third percentile weight for height', '  Albumin at least 3 g/dL', '  No severe uncontrolled infection', '  No pregnant women', '  Effective contraception required of fertile women\r\n\r\n        ', '  At least 3 weeks since systemic chemotherapy (6 weeks since nitrosoureas)', '  Recovered at least 3 months since bone marrow transplant (at least 6 months since\r\n             total-body irradiation)', '  No concurrent anticancer therapy', '  No concurrent treatment studies\r\n      ']"
27,NCT00002744,May-96,Phase 3,All,1 Year,9 Years,"['DISEASE CHARACTERISTICS: Newly diagnosed acute lymphoblastic leukemia (ALL) obtained by\r\n        bone marrow aspirate or bone marrow biopsy No greater than 25% L3 blasts Initial white\r\n        blood cell count less than 50,000/mm3 (performed at CCG institution) Massive\r\n        lymphadenopathy, massive splenomegaly, and/or large mediastinal mass allowed CNS or\r\n        testicular leukemia allowed Allogeneic bone marrow transplant should be considered (if\r\n        donor available) for patients with Philadelphia chromosome (t[9;22][q34;q11]) or\r\n        translocation (4;11)(q21;q23)\r\n\r\n        ', 'Age: 1 through 9 ', 'Performance status: Not specified ', 'Hematopoietic:\r\n        See Disease Characteristics ', 'Hepatic: Not specified ', 'Renal: Not specified\r\n\r\n        ', 'Biologic therapy: Not specified\r\n        ', 'Chemotherapy: Intrathecal cytarabine (IT ARA-C) may begin prior to registration provided\r\n        systemic chemotherapy initiated within 72 hours after IT ARA-C ', 'Endocrine therapy: See\r\n        ', 'Radiotherapy At least 1 month since prior systemic steroids Steroids given for less than 48\r\n        hours allowed Inhaled corticosteroids allowed at any time Radiotherapy: Radiotherapy or\r\n        dexamethasone for mediastinal mass causing superior mediastinal syndrome allowed prior to\r\n        registration, if indicated ', 'Surgery: Not specified\r\n      ']"
61,NCT00002756,Jun-96,Phase 2,All,N/A,1 Year,"[""  Newly diagnosed acute lymphoblastic leukemia (ALL) or acute undifferentiated leukemia\r\n\r\n               -  No infants less than 36 weeks' gestation\r\n\r\n               -  CNS or testicular disease permitted"", '  No B-cell ALL or acute myeloid leukemia', '  Previously untreated except for the following:\r\n\r\n               -  Steroid treatment within 48 hours of diagnosis allowed with physical examination\r\n                  and differential CBC immediately prior to beginning steroids', '  Concurrent registration on protocol POG-9900 (ALL classification study) required', '  Patients registered on POG-9407 are eligible for the pharmacokinetic part of the study\r\n\r\n        ', 'Age:\r\n\r\n          -  Under 1 at diagnosis\r\n\r\n        ', 'Performance status:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Life expectancy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hematopoietic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Hepatic:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Renal:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Other:\r\n\r\n          -  No uncontrolled infection\r\n\r\n          -  Adequate major organ function\r\n\r\n        ', 'Biologic therapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Chemotherapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Endocrine therapy:\r\n\r\n          -  See Disease Characteristics\r\n\r\n          -  No concurrent chronic steroid treatment\r\n\r\n        ', 'Radiotherapy:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Surgery:\r\n\r\n          -  Not specified\r\n\r\n        ', 'Other:\r\n\r\n          -  No other concurrent anticancer therapy\r\n      ']"
10,NCT00002785,Jul-96,Phase 2,All,N/A,1 Year,"['Histologically confirmed acute lymphoblastic leukemia (ALL) in\r\n        infants under 12 months of age at diagnosis ', 'Adequate bone marrow and/or peripheral blood\r\n        specimens with blasts available ', 'No prior treatment for ALL except emergency therapy for the\r\n        following: ', 'Blast cell crisis ', 'Superior vena cava syndrome ', 'Renal failure due to leukemic\r\n        infiltration of the kidneys\r\n\r\n        ', 'See ', 'General ', 'Eligibility ', 'Criteria\r\n      ']"
167,NCT00002798,Aug-96,Phase 3,All,N/A,21 Years,"['  Histologically confirmed previously untreated acute myeloid leukemia (AML) in patients\r\n             1 month to 21 years of age\r\n\r\n               -  Infants under 1 month with progressive disease eligible\r\n\r\n                    -  Supportive care may be given to confirm that the leukemia is not regressing\r\n                       prior to entry\r\n\r\n               -  No acute promyelocytic leukemia (FAB M3)\r\n\r\n               -  No acute undifferentiated leukemia (FAB M0)', '  Histochemical verification of AML required by the following stains:\r\n\r\n               -  Wright or Giemsa\r\n\r\n               -  Peroxidase\r\n\r\n               -  PAS\r\n\r\n               -  Chloroacetate esterase\r\n\r\n               -  Sudan black\r\n\r\n               -  Nonspecific esterase (NSE) with and without fluoride (NaF) inhibition\r\n\r\n               -  Combined NSE/NaF and butyrate inhibition or diagnosis of megakaryoblasticleukemia\r\n                  (FAB M7) should be supported by one of the following:\r\n\r\n                    -  CD41 reactivity\r\n\r\n                    -  Glycoprotein 1b reactivity\r\n\r\n                    -  Factor VIII-related antigen reactivity\r\n\r\n                    -  Platelet peroxidase on electron microscopy', '  The following are also eligible:\r\n\r\n               -  Myelodysplastic syndromes, including:\r\n\r\n                    -  Refractory anemia (RA) *\r\n\r\n                    -  RA with ringed sideroblasts (RARS) *\r\n\r\n                    -  RA with excess blasts (RAEB)\r\n\r\n                    -  RAEB in transformation (RAEBt)\r\n\r\n                    -  Chronic myelomonocytic leukemia (CMML)\r\n\r\n               -  AML with monosomy 7\r\n\r\n               -  Granulocytic sarcoma (chloroma) with or without marrow involvement\r\n\r\n               -  Mixed lineage leukemia with 2 morphologically defined populations provided the\r\n                  predominant population is myeloid', '  No Downs syndrome', '  No juvenile chronic myelogenous leukemia', ""  No Fanconi's anemia"", '  No secondary AML', '  Performance status - Not specified', '  No prior anticancer chemotherapy', '  Prior topical or inhaled steroids for nonmalignant conditions allowed', '  No prior anticancer radiotherapy', '  No prior antileukemic therapy\r\n      ']"
42,NCT00002812,Sep-96,Phase 3,All,1 Year,21 Years,"['DISEASE CHARACTERISTICS: Acute lymphocytic leukemia (ALL) with M3 bone marrow No FAB L3\r\n        morphology CNS or overt testicular leukemia at diagnosis allowed High risk status 10-21\r\n        years old with any white blood count (WBC) 1-9 years old with WBC of 50,000/mm3 or greater\r\n\r\n        ', 'Age: 1 to 21 ', 'Performance status: Not specified ', 'Life expectancy:\r\n        Not specified ', 'Hematopoietic: See Disease Characteristics ', 'Hepatic: Not specified ', 'Renal: Not\r\n        specified\r\n\r\n        ', 'Chemotherapy: Intrathecal cytarabine or methotrexate allowed at\r\n        diagnostic lumbar puncture Induction therapy must begin within 72 hours after intrathecal\r\n        injection ', 'Endocrine therapy: At least 1-2 months since prior prednisone, for less than 48\r\n        hours, for reactive airway disease Inhalational steroids allowed ', 'Radiotherapy: Not\r\n        specified ', 'Surgery: Not specified\r\n      ']"
18,NCT00002816,Dec-96,Phase 3,All,N/A,20 Years,"['Acute lymphoblastic leukemia (ALL) with isolated extramedullary\r\n        relapse ', 'Relapse occurred during or following front-line therapy for ALL ', 'Initial diagnosis\r\n        of more than 25% blasts of L1 or L2 morphology ', 'No leukemic marrow (M1) by conventional\r\n        assessment ', 'Patients with ', '', 'Relapse occurred during or following front-line therapy for ALL Initial diagnosis\r\n        of more than 25% blasts of L1 or L2 morphology No leukemic marrow (M1) by conventional\r\n        assessment Patients with B precursor ALL must also be enrolled on study CCG-B958 Relapse\r\n        occurred in the CNS, testis, or eye ', 'Ocular relapse confirmed by an ophthalmologist and by\r\n        cytology or iris biopsy ', 'Combined CNS and ocular relapse eligible ', 'Down ', '', '', 'No leukemic marrow (M1) by conventional\r\n        assessment ', 'Patients with B precursor ALL must also be enrolled on study CCG-B958 Relapse\r\n        occurred in the CNS, testis, or eye Ocular relapse confirmed by an ophthalmologist and by\r\n        cytology or iris biopsy Combined CNS and ocular relapse eligible Down Syndrome patients not\r\n        eligible No prior bone marrow transplantation in first remission No prior toxicity from any\r\n        study drugs Patient age: ', 'Under 21\r\n\r\n        ', 'See ', 'General ', 'Eligibility ', 'Criteria\r\n      ']"
